Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utmEasting,utmNorthing,zone,letter,quality
1697060412.3919818,159,77980,0,GPS1_Frame,42.33842441666667,-71.08634385833334,22.131,328128.92442165717,4689460.258695198,19,T,4
1697060414.8588886,160,77981,0,GPS1_Frame,42.338421335,-71.08634723666667,22.158,328128.637710031,4689459.9233282795,19,T,4
1697060417.326265,161,77982,0,GPS1_Frame,42.338418473333334,-71.08635132333333,22.185,328128.29324348626,4689459.613822467,19,T,4
1697060419.791595,162,77983,0,GPS1_Frame,42.33841548,-71.086354565,22.189,328128.0180314146,4689459.287988069,19,T,4
1697060422.2559044,163,77984,0,GPS1_Frame,42.33841314666667,-71.08635824666666,22.206,328127.70836919395,4689459.036331037,19,T,4
1697060424.5449595,164,77985,0,GPS1_Frame,42.338410028333335,-71.08636137166667,22.236,328127.442427802,4689458.69638054,19,T,4
1697060427.009163,165,77986,0,GPS1_Frame,42.33840770333333,-71.08636515,22.262,328127.12482459383,4689458.4458442805,19,T,4
1697060429.4729502,166,77987,0,GPS1_Frame,42.33840471333333,-71.08636805833333,22.264,328126.8770823531,4689458.119706288,19,T,4
1697060431.9380822,167,77988,0,GPS1_Frame,42.33840235,-71.08637175833333,22.255,328126.5658279581,4689457.864755091,19,T,4
1697060434.4057968,168,77989,0,GPS1_Frame,42.338399355,-71.08637504666666,22.254,328126.28676668205,4689457.538830016,19,T,4
1697060436.8726027,169,77990,0,GPS1_Frame,42.33839666,-71.08637840666667,22.282,328126.0026186609,4689457.246362529,19,T,4
1697060439.164592,170,77991,0,GPS1_Frame,42.338393888333336,-71.086381375,22.291,328125.7505282367,4689456.944590107,19,T,4
1697060441.455926,171,77992,0,GPS1_Frame,42.338391333333334,-71.08638488666666,22.29,328125.4542669236,4689456.667975144,19,T,4
1697060443.7470233,172,77993,0,GPS1_Frame,42.33838864333333,-71.08638784166666,22.346,328125.20349739277,4689456.375244252,19,T,4
1697060446.0361536,173,77994,0,GPS1_Frame,42.33838654,-71.08639134333333,22.311,328124.9092904588,4689456.148763243,19,T,4
1697060448.3238373,174,77995,0,GPS1_Frame,42.338383461666666,-71.08639397333333,22.361,328124.6842371803,4689455.812253964,19,T,4
1697060450.6130724,175,78029,0,GPS1_Frame,42.33828935166667,-71.08650816666666,22.936,328115.02027408476,4689445.592888203,19,T,4
1697060453.0772452,176,78030,0,GPS1_Frame,42.338287691666665,-71.08651183666667,22.901,328114.71340657736,4689445.4159766715,19,T,4
1697060455.3655243,177,78031,0,GPS1_Frame,42.338284988333335,-71.08651396166667,22.885,328114.53097752325,4689445.12008775,19,T,4
1697060457.47835,178,78032,0,GPS1_Frame,42.33828281833333,-71.08651724666667,22.942,328114.2544377087,4689444.885766353,19,T,4
1697060459.7696402,179,78033,0,GPS1_Frame,42.33827929,-71.08651987,22.92,328114.02870667365,4689444.49927485,19,T,4
1697060462.0599842,180,78034,0,GPS1_Frame,42.33827607166667,-71.08652350666667,22.911,328113.7203391368,4689444.149254936,19,T,4
1697060464.3507395,181,78035,0,GPS1_Frame,42.338272845,-71.086526085,22.941,328113.4991372328,4689443.796170266,19,T,4
1697060466.6413937,182,78036,0,GPS1_Frame,42.33827039,-71.08652897666667,22.871,328113.2542246517,4689443.529406708,19,T,4
1697060468.756363,183,78037,0,GPS1_Frame,42.338265955,-71.08652956333333,22.955,328113.1938092229,4689443.038119693,19,T,4
1697060471.2234085,184,78038,0,GPS1_Frame,42.338262848333336,-71.08652908166667,22.939,328113.22502536606,4689442.692174344,19,T,4
1697060473.6903067,185,78039,0,GPS1_Frame,42.33826067,-71.08652543833334,22.944,328113.5192377028,4689442.442922048,19,T,4
1697060476.158796,186,78051,0,GPS1_Frame,42.33822313333334,-71.0864757,23.044,328117.51454213745,4689438.174216796,19,T,4
1697060478.4515274,187,78052,0,GPS1_Frame,42.33821996,-71.08647140666666,23.026,328117.8595925824,4689437.813163589,19,T,4
1697060480.7435215,188,78053,0,GPS1_Frame,42.338217738333334,-71.08646749333333,23.015,328118.175930575,4689437.558553875,19,T,4
1697060483.034079,189,78054,0,GPS1_Frame,42.338214998333335,-71.08646386333334,23.048,328118.46751452266,4689437.246959951,19,T,4
1697060485.3252664,190,78055,0,GPS1_Frame,42.338212935,-71.0864606,23.045,328118.7307351522,4689437.011245907,19,T,4
1697060487.615839,191,78056,0,GPS1_Frame,42.33821024,-71.086456915,23.057,328119.0269728112,4689436.704537735,19,T,4
1697060490.0834591,192,78057,0,GPS1_Frame,42.338207526666665,-71.08645280166667,23.06,328119.3584478386,4689436.394927958,19,T,4
1697060492.3743017,193,78058,0,GPS1_Frame,42.338205411666664,-71.08644885166666,23.062,328119.6780972815,4689436.1520887185,19,T,4
1697060494.6652622,194,78059,0,GPS1_Frame,42.338202988333336,-71.08644575166667,22.955,328119.9268812683,4689435.876729631,19,T,4
1697060496.7802935,195,78060,0,GPS1_Frame,42.33820077666667,-71.08644122333334,23.076,328120.2939120962,4689435.621987275,19,T,4
1697060499.068805,196,78061,0,GPS1_Frame,42.338197988333334,-71.08643798333334,23.032,328120.5532352334,4689435.305814744,19,T,4
1697060501.3569791,197,78062,0,GPS1_Frame,42.33819559,-71.08643448666666,23.065,328120.83476591826,4689435.032429924,19,T,4
1697060503.645393,198,78063,0,GPS1_Frame,42.33819243,-71.08643098666667,23.064,328121.1144959867,4689434.674461101,19,T,4
1697060505.934074,199,78064,0,GPS1_Frame,42.338190278333336,-71.086426955,23.071,328121.44077359734,4689434.427385313,19,T,4
1697060508.2227361,200,78065,0,GPS1_Frame,42.33818771666667,-71.08642326833333,23.055,328121.7375120709,4689434.135479545,19,T,4
1697060510.5112858,201,78066,0,GPS1_Frame,42.33818514166666,-71.08641981333334,23.03,328122.01512888493,4689433.842561513,19,T,4
1697060512.8028746,202,78067,0,GPS1_Frame,42.33818337,-71.08641509833333,23.041,328122.39873683895,4689433.636300595,19,T,4
1697060515.269321,203,78068,0,GPS1_Frame,42.338181088333336,-71.08641202666666,23.068,328122.6455728299,4689433.376729886,19,T,4
1697060517.3818338,204,78069,0,GPS1_Frame,42.33817964333333,-71.08640795833334,23.296,328122.97679662704,4689433.208050001,19,T,4
1697060519.493464,205,78070,0,GPS1_Frame,42.33817928,-71.08640530333334,23.097,328123.194533115,4689433.162337851,19,T,4
1697060521.781205,206,78071,0,GPS1_Frame,42.33818027833333,-71.08640307166667,23.02,328123.3811041692,4689433.268684126,19,T,4
1697060524.0694416,207,78072,0,GPS1_Frame,42.338180191666666,-71.08640272666666,23.012,328123.409290117,4689433.258363078,19,T,4
1697060526.181429,208,78073,0,GPS1_Frame,42.33818026666667,-71.08640264,23.188,328123.41663430433,4689433.266516072,19,T,4
1697060528.2941968,209,78111,0,GPS1_Frame,42.338264245,-71.08630112,22.894,328132.0089334203,4689442.386465199,19,T,5
1697060530.5853155,210,78112,0,GPS1_Frame,42.33826613833333,-71.08629813833333,22.898,328132.2597295068,4689442.590678675,19,T,5
1697060532.876072,211,78113,0,GPS1_Frame,42.338268785,-71.08629620666666,22.897,328132.42607613874,4689442.880666418,19,T,5
1697060535.1666157,212,78114,0,GPS1_Frame,42.338270615,-71.08629316833333,22.908,328132.6813680043,4689443.077732684,19,T,5
1697060537.457707,213,78115,0,GPS1_Frame,42.33827326666667,-71.08629089,22.888,328132.8762875658,4689443.367574942,19,T,5
1697060539.5722604,214,78116,0,GPS1_Frame,42.33827503,-71.08628712,22.87,328133.19167445216,4689443.555759509,19,T,5
1697060541.8624926,215,78117,0,GPS1_Frame,42.33827763833333,-71.086284145,22.891,328133.4438692088,4689443.839381802,19,T,5
1697060543.9766743,216,78118,0,GPS1_Frame,42.33827984,-71.08628090833334,22.823,328133.71651281824,4689444.077317973,19,T,5
1697060546.0907235,217,78119,0,GPS1_Frame,42.338282935,-71.08627749833333,22.812,328134.0058698914,4689444.414101662,19,T,5
1697060548.2045972,218,78120,0,GPS1_Frame,42.338285836666664,-71.08627344,22.81,328134.3481116631,4689444.728106726,19,T,5
1697060550.318986,219,78121,0,GPS1_Frame,42.33828786,-71.086269515,22.727,328134.6769761088,4689444.944849083,19,T,5
1697060552.4331665,220,78122,0,GPS1_Frame,42.33829063833333,-71.08626601,22.797,328134.9732967266,4689445.246277373,19,T,5
