Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,UTC_Time,Latitude,UTM_northing,Longtitude,UTM_easting,Altitude,Zone,Letter
1695743244.4110274,90,56845,0,GPS_frame,,42.33807166666667,4689436.869662326,-71.09413666666666,327485.96848695975,18.2,19,T
1695743245.4094532,91,56846,0,GPS_frame,,42.338078333333335,4689437.582893632,-71.09412333333333,327487.085158175,18.5,19,T
1695743246.4117837,92,56847,0,GPS_frame,,42.338085,4689438.292743703,-71.09410833333332,327488.33913415024,18.8,19,T
1695743247.417739,93,56848,0,GPS_frame,,42.338089999999994,4689438.817523276,-71.09409333333333,327489.58855216316,19.1,19,T
1695743248.4106948,94,56849,0,GPS_frame,,42.33809666666666,4689439.527373781,-71.09407833333333,327490.84252764797,19.5,19,T
1695743249.408194,95,56850,0,GPS_frame,,42.33810333333333,4689440.240605841,-71.094065,327491.9591979262,19.7,19,T
1695743250.409733,96,56851,0,GPS_frame,,42.33811000000001,4689440.960600714,-71.094055,327492.8012581015,19.5,19,T
1695743251.4010434,97,56852,0,GPS_frame,,42.33811333333333,4689441.310454253,-71.09404500000001,327493.63420290634,19.5,19,T
1695743252.4097207,98,56853,0,GPS_frame,,42.33811666666667,4689441.660307892,-71.094035,327494.4671476241,19.6,19,T
1695743253.4079094,99,56854,0,GPS_frame,,42.338121666666666,4689442.191851066,-71.09402333333334,327495.4419547212,19.8,19,T
1695743254.4121485,100,56855,0,GPS_frame,,42.33812666666666,4689442.720013122,-71.09401,327496.5540665656,20.0,19,T
1695743255.4105153,101,56856,0,GPS_frame,,42.338133333333325,4689443.433246062,-71.09399666666667,327497.6707357294,19.9,19,T
1695743256.4112544,102,56857,0,GPS_frame,,42.33813833333333,4689443.964789672,-71.093985,327498.64554232394,19.8,19,T
1695743257.4101136,103,56858,0,GPS_frame,,42.33814333333333,4689444.499714601,-71.093975,327499.4830439059,19.7,19,T
1695743258.411416,104,56859,0,GPS_frame,,42.33814833333333,4689445.038020808,-71.09396666666666,327500.1832405041,19.3,19,T
1695743259.4028244,105,56860,0,GPS_frame,,42.33815333333334,4689445.57294592,-71.09395666666666,327501.0207418394,19.2,19,T
1695743260.401586,106,56861,0,GPS_frame,,42.33815833333333,4689446.1044899775,-71.093945,327501.99554786616,19.0,19,T
1695743261.4094636,107,56862,0,GPS_frame,,42.33816333333333,4689446.639415296,-71.093935,327502.8330489286,18.8,19,T
1695743262.411644,108,56863,0,GPS_frame,,42.338168333333336,4689447.170959599,-71.09392333333334,327503.80785466684,18.6,19,T
1695743263.4093297,109,56864,0,GPS_frame,,42.338175,4689447.884193657,-71.09391000000001,327504.924522358,18.7,19,T
1695743264.410096,110,56865,0,GPS_frame,,42.338179999999994,4689448.412357175,-71.09389666666667,327506.03663253883,18.8,19,T
1695743265.4095185,111,56866,0,GPS_frame,,42.338185,4689448.943901911,-71.093885,327507.0114377746,18.9,19,T
1695743266.410782,112,56867,0,GPS_frame,,42.338190000000004,4689449.475446779,-71.09387333333333,327507.9862428563,18.9,19,T
