Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,UTC_Time,Latitude,UTM_northing,Longtitude,UTM_easting,Altitude,Zone,Letter
1695688048.8129065,103,1649,0,GPS_frame,,42.273045,4682087.018660997,-71.02945833333334,332642.1330276994,20.1,19,T
1695688049.797803,104,1650,0,GPS_frame,,42.273045,4682087.018660997,-71.02945833333334,332642.1330276994,20.1,19,T
1695688050.7971225,105,1651,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688051.7966654,106,1652,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688052.7960403,107,1653,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688053.7964418,108,1654,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688054.7977748,109,1655,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688055.7974045,110,1656,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688056.796864,111,1657,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688057.7954235,112,1658,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688058.796567,113,1659,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688059.7924051,114,1660,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688060.7915456,115,1661,0,GPS_frame,,42.273043333333334,4682086.833592834,-71.02945833333334,332642.1286163598,20.1,19,T
1695688061.7957382,116,1662,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.1,19,T
1695688062.7944462,117,1663,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.1,19,T
1695688063.7921057,118,1664,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.1,19,T
1695688064.7914016,119,1665,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.2,19,T
1695688065.7959452,120,1666,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.2,19,T
1695688066.796964,121,1667,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.2,19,T
1695688067.796852,122,1668,0,GPS_frame,,42.273043333333334,4682086.8368690405,-71.02946,332641.99117029307,20.2,19,T
1695688068.7965238,123,1669,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.2,19,T
1695688069.7956238,124,1670,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.2,19,T
1695688070.7967343,125,1671,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.2,19,T
1695688071.7980776,126,1672,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.2,19,T
1695688072.7997031,127,1673,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.2,19,T
1695688073.7968009,128,1674,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.2,19,T
1695688074.7990234,129,1675,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.3,19,T
1695688075.7986822,130,1676,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.3,19,T
1695688076.7979667,131,1677,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.3,19,T
1695688077.8011265,132,1678,0,GPS_frame,,42.273041666666664,4682086.651800878,-71.02946,332641.98675895,20.3,19,T
1695688078.8005464,133,1679,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.8,19,T
1695688079.8004625,134,1680,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.8,19,T
1695688080.7995877,135,1681,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.8,19,T
1695688081.7976494,136,1682,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.8,19,T
1695688082.8009028,137,1683,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.8,19,T
1695688083.7987554,138,1684,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.8,19,T
1695688084.7992535,139,1685,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.9,19,T
1695688085.7972338,140,1686,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.9,19,T
1695688086.8006823,141,1687,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.9,19,T
1695688087.8025234,142,1688,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.9,19,T
1695688088.7975323,143,1689,0,GPS_frame,,42.27303833333334,4682086.284940763,-71.02946166666668,332641.8404901846,19.9,19,T
1695688089.7980754,144,1690,0,GPS_frame,,42.27303833333334,4682086.288216975,-71.02946333333333,332641.70304410695,19.9,19,T
1695688090.7978728,145,1691,0,GPS_frame,,42.27303833333334,4682086.288216975,-71.02946333333333,332641.70304410695,19.9,19,T
1695688091.7982957,146,1692,0,GPS_frame,,42.27303833333334,4682086.288216975,-71.02946333333333,332641.70304410695,19.9,19,T
1695688092.80222,147,1693,0,GPS_frame,,42.27303833333334,4682086.288216975,-71.02946333333333,332641.70304410695,19.9,19,T
1695688093.8168068,148,1694,0,GPS_frame,,42.27303833333334,4682086.288216975,-71.02946333333333,332641.70304410695,19.9,19,T
1695688094.7944834,149,1695,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,19.9,19,T
1695688095.817884,150,1696,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688096.8166862,151,1697,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688097.7985973,152,1698,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688098.7988145,153,1699,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688099.8182602,154,1700,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688100.798544,155,1701,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688101.7975104,156,1702,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688102.8014493,157,1703,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688103.7954595,158,1704,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688104.7980783,159,1705,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688105.797305,160,1706,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688106.7986214,161,1707,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.0,19,T
1695688107.801978,162,1708,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,20.1,19,T
1695688108.7967484,163,1709,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,19.8,19,T
1695688109.7980654,164,1710,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,19.8,19,T
1695688110.7998564,165,1711,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,19.8,19,T
1695688111.799451,166,1712,0,GPS_frame,,42.27303666666667,4682086.103148812,-71.02946333333333,332641.69863275706,19.8,19,T
1695688112.7986784,167,1713,0,GPS_frame,,42.273035,4682085.918080648,-71.02946333333333,332641.6942214073,19.8,19,T
