Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_Easting,UTM_Northing,Zone,Letter
1698708378.2429497,184,1698708378,240649223,GPS1_Frame,42.27449166666667,-71.02942833333333,18.3,332648.4360965992,4682247.598872359,19,T
1698708379.244323,185,1698708379,241849422,GPS1_Frame,42.274496666666664,-71.02943499999999,18.3,332647.89955917164,4682248.167181681,19,T
1698708380.2419703,186,1698708380,240545511,GPS1_Frame,42.274498333333334,-71.02943666666667,18.3,332647.7665276816,4682248.355526071,19,T
1698708381.2425895,187,1698708381,240530490,GPS1_Frame,42.274498333333334,-71.02943499999999,18.3,332647.9039705845,4682248.352249886,19,T
1698708382.2422345,188,1698708382,240758895,GPS1_Frame,42.274498333333334,-71.02943499999999,18.3,332647.9039705845,4682248.352249886,19,T
1698708383.2420132,189,1698708383,240182876,GPS1_Frame,42.274498333333334,-71.02943499999999,18.3,332647.9039705845,4682248.352249886,19,T
1698708384.2422419,190,1698708384,240233659,GPS1_Frame,42.274498333333334,-71.02943499999999,18.3,332647.9039705845,4682248.352249886,19,T
1698708385.2429357,191,1698708385,241444349,GPS1_Frame,42.274498333333334,-71.02943499999999,18.3,332647.9039705845,4682248.352249886,19,T
1698708386.242156,192,1698708386,240115642,GPS1_Frame,42.274498333333334,-71.02943499999999,18.3,332647.9039705845,4682248.352249886,19,T
1698708387.2415793,193,1698708387,239624977,GPS1_Frame,42.274496666666664,-71.02943499999999,18.2,332647.89955917164,4682248.167181681,19,T
1698708388.241938,194,1698708388,239835023,GPS1_Frame,42.27450333333333,-71.02944166666666,18.1,332647.36743326194,4682248.920559251,19,T
1698708389.242119,195,1698708389,240218162,GPS1_Frame,42.274518333333326,-71.02946166666668,18.0,332645.7578218167,4682250.6254876135,19,T
1698708390.2425764,196,1698708390,240112066,GPS1_Frame,42.27453666666667,-71.02949333333332,18.0,332643.19493447256,4682252.723486667,19,T
1698708391.2421823,197,1698708391,240361452,GPS1_Frame,42.27454833333333,-71.029535,17.7,332639.7897454401,4682254.100871902,19,T
1698708392.2401414,198,1698708392,239052295,GPS1_Frame,42.27454833333333,-71.029585,17.4,332635.6664616234,4682254.199163483,19,T
1698708393.2416449,199,1698708393,240249156,GPS1_Frame,42.27453333333333,-71.02963833333334,17.1,332631.228585472,4682252.638396646,19,T
1698708394.242074,200,1698708394,239917039,GPS1_Frame,42.27450333333333,-71.02969166666666,16.7,332626.7509994814,4682249.412018698,19,T
1698708395.2405982,201,1698708395,239400386,GPS1_Frame,42.27446333333334,-71.02974333333333,16.4,332622.38437981356,4682245.0719575845,19,T
1698708396.2438219,202,1698708396,241246223,GPS1_Frame,42.27442333333333,-71.02979166666667,16.1,332618.29264095234,4682240.725345535,19,T
1698708397.2431917,203,1698708397,241777658,GPS1_Frame,42.274385,-71.02984166666667,16.0,332614.0678662496,4682236.567080795,19,T
1698708398.2743943,204,1698708398,272782087,GPS1_Frame,42.274346666666666,-71.02988833333333,15.8,332610.11797307665,4682232.402264643,19,T
1698708399.2430332,205,1698708399,241299629,GPS1_Frame,42.27430833333333,-71.02993333333333,15.6,332606.30551861576,4682228.234173616,19,T
1698708400.2425146,206,1698708400,240826368,GPS1_Frame,42.274275,-71.029975,15.3,332602.78118422837,4682224.614735055,19,T
1698708401.2446513,207,1698708401,243024110,GPS1_Frame,42.27424666666668,-71.03000833333334,15.1,332599.9573015034,4682221.5341172125,19,T
1698708402.2418582,208,1698708402,241103172,GPS1_Frame,42.274226666666664,-71.03003333333332,15.2,332597.84269738337,4682219.362455689,19,T
1698708403.276018,209,1698708403,273895025,GPS1_Frame,42.274215000000005,-71.030045,15.1,332596.84970388364,4682218.089918372,19,T
1698708404.273598,210,1698708404,272231817,GPS1_Frame,42.27421,-71.03005,15.2,332596.4241351326,4682217.544545275,19,T
